"","dowStartSat","num_collisions","temperature","visibility","wind_speed","bft_wind_scale"
"1",7,257,2.5,9.8,4.4,2
"2",1,220,5.27777777777778,5.9,6.2,2
"3",3,242,3.16666666666667,9.2,5.3,2
"4",4,228,3.55555555555555,10,3.9,1
"5",5,220,3,10,6.4,2
"6",6,285,1.83333333333333,10,7.2,3
"7",7,272,0,10,4.5,2
"8",1,244,-0.722222222222223,10,6,2
"9",3,238,0.222222222222221,10,2.7,1
"10",4,279,2.94444444444444,9.4,3.4,1
"11",5,245,3.83333333333333,8.9,3,1
"12",6,253,6.05555555555556,8.2,1.6,1
"13",7,272,5.11111111111111,7,5.7,2
"14",1,265,6.16666666666667,8.2,7.2,3
"15",2,210,4.05555555555555,10,7.7,3
"16",3,225,5.16666666666667,10,6.1,2
"17",4,261,3.22222222222222,10,5.7,2
"18",5,253,2.55555555555556,9.5,5.7,2
"19",6,251,0.166666666666665,10,3.9,1
"20",7,254,4.94444444444444,10,5.7,2
"21",1,251,-0.222222222222221,10,9.2,3
"22",2,212,-3.27777777777778,10,9.2,3
"23",3,260,-1.66666666666667,10,5,2
"24",4,263,0.722222222222221,7.5,6,2
"25",5,262,1.27777777777778,7.4,5.4,2
"26",6,262,-1.11111111111111,10,7.2,3
"27",7,291,-6.44444444444445,10,12.5,4
"28",1,284,-5.5,10,7.6,3
"29",2,297,-4.61111111111111,9.3,4.8,2
"30",3,239,-2.77777777777778,0.7,11.4,4
"31",4,238,0,2.9,8.8,3
"32",5,246,0.111111111111113,8.7,6.5,2
"33",6,277,1.66666666666667,10,6.7,2
"34",7,326,5.05555555555556,9.6,3.5,1
"35",1,275,4.11111111111111,10,6.6,2
"36",2,243,2.16666666666667,6.2,4.5,2
"37",3,301,-4.61111111111111,9.3,6.3,2
"38",4,229,-1.22222222222222,8.4,4.3,2
"39",5,279,-1.44444444444445,9.5,3.9,1
"40",6,299,-1.38888888888889,7.3,5,2
"41",7,290,-3.44444444444444,10,4.6,2
"42",1,210,-2.5,10,5.6,2
"43",2,184,-0.444444444444445,9.8,4.1,2
"44",3,208,0.666666666666668,8.9,4.9,2
"45",4,213,4.55555555555556,5.1,6.2,2
"46",5,239,-1.27777777777778,10,7.4,3
"47",6,256,-2.16666666666667,5.9,6.8,2
"48",7,202,-1.22222222222222,3.2,7.3,3
"49",1,257,-0.333333333333334,9.3,5.5,2
"50",2,208,-1.27777777777778,10,5.8,2
"51",3,245,1.27777777777778,7.7,3.3,1
"52",4,240,3.77777777777778,8.6,4.5,2
"53",5,267,7.66666666666667,10,6.4,2
"54",6,269,7.77777777777778,10,8.2,3
"55",7,301,4.5,10,3.5,1
"56",1,223,6.11111111111111,6.8,4.5,2
"57",2,212,6.5,9.1,4.1,2
"58",3,224,6.33333333333333,5.6,5.9,2
