"","dowStartSun","scaledCollisions","dewp","temperature","visibility","wind_speed","snow_depth","bft_wind_scale","num_collisions","fatalities","injured","weighted_fatalities_injuries"
"1",6,0.357843137254902,-4.11111111111111,2.5,9.8,4.4,0,2,257,2,105,12.5
"2",7,0.176470588235294,1.83333333333333,5.27777777777778,5.9,6.2,0,2,220,1,106,11.6
"3",2,0.284313725490196,0.0555555555555564,3.16666666666667,9.2,5.3,0,2,242,1,101,11.1
"4",3,0.215686274509804,-1.33333333333333,3.55555555555555,10,3.9,0,1,228,0,92,9.2
"5",4,0.176470588235294,-3.05555555555556,3,10,6.4,0,2,220,1,87,9.7
"6",5,0.495098039215686,-6.33333333333333,1.83333333333333,10,7.2,0,3,285,3,125,15.5
"7",6,0.431372549019608,-6.94444444444444,0,10,4.5,0,2,272,0,117,11.7
"8",7,0.294117647058824,-9.5,-0.722222222222223,10,6,0,2,244,0,115,11.5
"9",2,0.264705882352941,-6.38888888888889,0.222222222222221,10,2.7,0,1,238,0,85,8.5
"10",3,0.465686274509804,-5,2.94444444444444,9.4,3.4,0,1,279,0,100,10
"11",4,0.299019607843137,-5.05555555555556,3.83333333333333,8.9,3,0,1,245,1,85,9.5
"12",5,0.338235294117647,-2,6.05555555555556,8.2,1.6,0,1,253,1,109,11.9
"13",6,0.431372549019608,1.33333333333333,5.11111111111111,7,5.7,0,2,272,0,105,10.5
"14",7,0.397058823529412,3.27777777777778,6.16666666666667,8.2,7.2,0,3,265,1,127,13.7
"15",1,0.127450980392157,-4.11111111111111,4.05555555555555,10,7.7,0,3,210,0,94,9.4
"16",2,0.200980392156863,-3.55555555555555,5.16666666666667,10,6.1,0,2,225,0,92,9.2
"17",3,0.377450980392157,-4.77777777777778,3.22222222222222,10,5.7,0,2,261,0,101,10.1
"18",4,0.338235294117647,-7.11111111111111,2.55555555555556,9.5,5.7,0,2,253,1,95,10.5
"19",5,0.32843137254902,-9.83333333333333,0.166666666666665,10,3.9,0,1,251,0,106,10.6
"20",6,0.343137254901961,-5.72222222222222,4.94444444444444,10,5.7,0,2,254,1,92,10.2
"21",7,0.32843137254902,-12.7222222222222,-0.222222222222221,10,9.2,0,3,251,0,115,11.5
"22",1,0.137254901960784,-15.3888888888889,-3.27777777777778,10,9.2,0,3,212,0,89,8.9
"23",2,0.372549019607843,-12.7777777777778,-1.66666666666667,10,5,0,2,260,0,85,8.5
"24",3,0.387254901960784,-6.83333333333333,0.722222222222221,7.5,6,0,2,263,0,128,12.8
"25",4,0.382352941176471,-2.66666666666667,1.27777777777778,7.4,5.4,0,2,262,0,94,9.4
"26",5,0.382352941176471,-10.4444444444444,-1.11111111111111,10,7.2,0,3,262,0,86,8.5
"27",6,0.524509803921569,-17.7777777777778,-6.44444444444445,10,12.5,0,4,291,3,116,14.6
"28",7,0.490196078431373,-15.9444444444444,-5.5,10,7.6,0,3,284,1,78,8.8
"29",1,0.553921568627451,-12.7222222222222,-4.61111111111111,9.3,4.8,0,2,297,0,108,10.8
"30",2,0.269607843137255,-4.66666666666667,-2.77777777777778,0.7,11.4,330.2,4,239,0,38,3.8
"31",3,0.264705882352941,-1.94444444444444,0,2.9,8.8,129.54,3,238,0,38,3.8
"32",4,0.303921568627451,-4.66666666666667,0.111111111111113,8.7,6.5,360.68,2,246,0,51,5.1
"33",5,0.455882352941176,-6.72222222222222,1.66666666666667,10,6.7,330.2,2,277,0,97,9.7
"34",6,0.696078431372549,-2.38888888888889,5.05555555555556,9.6,3.5,279.4,1,326,0,106,10.6
"35",7,0.446078431372549,-8.5,4.11111111111111,10,6.6,231.14,2,275,1,96,10.6
"36",1,0.28921568627451,-6.05555555555556,2.16666666666667,6.2,4.5,180.34,2,243,0,106,10.6
"37",2,0.573529411764706,-12.6666666666667,-4.61111111111111,9.3,6.3,149.86,2,301,0,96,9.6
"38",3,0.220588235294118,-6.55555555555556,-1.22222222222222,8.4,4.3,248.92,2,229,0,68,6.8
"39",4,0.465686274509804,-8.72222222222222,-1.44444444444445,9.5,3.9,231.14,1,279,0,110,11
"40",5,0.563725490196078,-7.5,-1.38888888888889,7.3,5,231.14,2,299,0,84,8.4
"41",6,0.519607843137255,-15.1666666666667,-3.44444444444444,10,4.6,231.14,2,290,0,105,10.5
"42",7,0.127450980392157,-14.8888888888889,-2.5,10,5.6,200.66,2,210,1,89,9.9
"43",1,0,-5.88888888888889,-0.444444444444445,9.8,4.1,200.66,2,184,0,69,6.9
"44",2,0.117647058823529,-4.55555555555556,0.666666666666668,8.9,4.9,200.66,2,208,2,89,10.9
"45",3,0.142156862745098,1.33333333333333,4.55555555555556,5.1,6.2,180.34,2,213,2,73,9.3
"46",4,0.269607843137255,-12.8888888888889,-1.27777777777778,10,7.4,149.86,3,239,1,96,10.6
"47",5,0.352941176470588,-10.2777777777778,-2.16666666666667,5.9,6.8,78.74,2,256,1,104,11.4
"48",6,0.0882352941176471,-3.11111111111111,-1.22222222222222,3.2,7.3,50.8,3,202,0,69,6.9
"49",7,0.357843137254902,-6.44444444444445,-0.333333333333334,9.3,5.5,129.54,2,257,0,100,10
"50",1,0.117647058823529,-10.6111111111111,-1.27777777777778,10,5.8,149.86,2,208,0,106,10.6
