collision_date,day,dd,year,mm,num_collisions,fatalities,injured,weighted_fatalities_injuries,dewp,slp,mxpsd,max,min,fog,temperature,visibility,wind_speed,gust,precipitation,snow_depth,thunder,hail,snow_ice_pellets
2014-04-04,5,04,2014,04,622,5,130,18.0,35.3,1016.9,12.0,54.0,39.9,0.0,44.4,8.0,6.5,18.1,0.1,,0.0,0.0,0.0
2022-10-14,5,14,2022,10,347,5,200,25.0,48.5,1011.5,12.0,69.1,52.0,0.0,58.6,7.6,3.8,19.0,0.99,,0.0,0.0,0.0
2016-06-19,7,19,2016,06,559,5,220,27.0,54.4,1025.2,7.0,88.0,61.0,0.0,74.2,9.4,2.0,17.1,0.0,,0.0,0.0,0.0
2017-07-16,7,16,2017,07,515,5,175,22.5,62.0,1013.9,5.1,87.1,68.0,0.0,76.8,10.0,2.5,17.1,0.0,,0.0,0.0,0.0
2019-06-27,4,27,2019,06,734,5,205,25.5,59.5,1018.8,5.1,89.1,71.1,0.0,81.3,10.0,2.7,,0.0,,0.0,0.0,0.0
2013-08-11,7,11,2013,08,481,5,152,20.2,53.0,1018.4,6.0,82.9,64.9,0.0,73.5,10.0,2.3,,0.0,,0.0,0.0,0.0
2016-12-27,2,27,2016,12,569,5,172,22.2,45.1,1013.2,9.9,60.1,33.1,0.0,54.7,9.7,6.5,28.9,0.02,,0.0,0.0,0.0
2016-02-28,7,28,2016,02,509,5,117,16.7,21.8,1013.4,8.9,60.1,26.1,0.0,46.0,10.0,6.4,20.0,0.0,,0.0,0.0,0.0
2013-03-03,7,03,2013,03,502,5,147,19.7,18.7,1006.2,9.9,39.9,28.9,0.0,32.6,9.0,6.6,17.1,0.0,,0.0,0.0,1.0
2017-09-18,1,18,2017,09,672,6,207,26.7,65.3,1019.6,9.9,81.0,68.0,0.0,70.7,8.8,4.7,,0.0,,0.0,0.0,0.0
2020-01-25,6,25,2020,01,383,5,124,17.4,36.7,1019.6,26.0,51.8,37.9,1.0,42.5,6.7,12.6,33.0,0.0,,0.0,0.0,0.0
2019-08-11,7,11,2019,08,484,5,184,23.4,51.5,1015.2,8.0,81.0,63.0,0.0,72.3,10.0,2.7,,0.0,,0.0,0.0,0.0
2020-10-06,2,06,2020,10,325,5,149,19.9,50.8,1019.4,5.1,70.0,53.1,0.0,62.2,10.0,2.2,14.0,0.0,,0.0,0.0,0.0
2021-09-11,6,11,2021,09,333,5,149,19.9,51.2,1020.3,5.1,75.9,60.1,0.0,68.2,10.0,1.8,17.1,0.0,,0.0,0.0,0.0
2022-07-17,7,17,2022,07,281,5,168,21.8,67.5,1016.5,6.0,84.9,66.0,0.0,76.4,9.9,2.2,15.0,1.11,,0.0,0.0,0.0
2013-12-21,6,21,2013,12,594,5,168,21.8,44.4,1014.6,11.1,63.0,41.0,0.0,55.4,9.8,7.0,20.0,0.01,3.1,0.0,0.0,0.0
2012-07-22,7,22,2012,07,498,6,178,23.8,59.4,1020.3,8.0,82.0,54.0,0.0,72.5,10.0,2.0,15.9,0.0,,0.0,0.0,0.0
2017-10-31,2,31,2017,10,696,10,181,27.8,33.2,1015.3,8.0,61.0,46.0,0.0,52.0,10.0,5.3,18.1,0.03,,0.0,0.0,0.0
2020-04-13,1,13,2020,04,138,0,25,2.5,53.4,1011.8,14.0,66.0,44.1,0.0,57.3,4.8,6.6,33.0,0.65,,0.0,0.0,0.0
2020-03-22,7,22,2020,03,139,0,30,3.0,13.0,1035.1,14.0,46.9,33.1,0.0,39.2,10.0,8.5,21.0,0.0,,0.0,0.0,0.0
2020-03-30,1,30,2020,03,164,0,30,3.0,41.7,1013.0,14.0,52.0,41.0,0.0,46.2,9.3,4.9,18.1,0.03,,0.0,0.0,0.0
2020-04-18,6,18,2020,04,125,0,30,3.0,38.4,1010.1,8.0,51.1,36.0,0.0,43.6,7.1,4.5,17.1,0.19,,0.0,0.0,0.0
2020-04-03,5,03,2020,04,191,0,35,3.5,36.1,1003.9,12.0,57.9,37.9,0.0,49.3,9.5,7.4,22.9,0.01,,0.0,0.0,0.0
2020-03-26,4,26,2020,03,187,0,45,4.5,31.4,1016.0,9.9,60.1,37.9,0.0,45.6,10.0,4.3,18.1,0.01,,0.0,0.0,0.0
2016-01-24,7,24,2016,01,517,0,55,5.5,11.6,1012.1,17.1,35.1,19.9,1.0,26.7,7.4,6.3,26.0,1.82,5.9,0.0,0.0,1.0
2016-02-14,7,14,2016,02,309,0,55,5.5,-16.1,1030.3,14.0,21.9,-0.9,0.0,6.9,10.0,7.6,31.1,0.0,,0.0,0.0,0.0
2018-01-04,4,04,2018,01,464,0,60,6.0,14.6,1006.7,18.1,30.0,16.0,1.0,25.7,5.4,9.1,34.0,0.07,7.1,0.0,0.0,1.0
2020-04-07,2,07,2020,04,130,0,60,6.0,24.8,1012.8,11.1,68.0,48.9,0.0,57.6,10.0,3.8,18.1,0.0,,0.0,0.0,0.0
2015-02-01,7,01,2015,02,361,0,65,6.5,11.4,1021.9,8.9,36.0,19.9,0.0,27.6,9.9,3.5,15.9,0.0,7.1,0.0,0.0,0.0
