day,dd,mm,year,collision_date,num_collisions,injured,fatalities,weighted_fatalities_injuries,num_vehicles_involved,dewp,slp,mxpsd,max,min,fog,temperature,visibility,wind_speed,gust,precipitation,snow_depth,thunder,hail,snow_ice_pellets
5,04,04,2014,2014-04-04,622,130,5,18.0,1229,35.3,1016.9,12.0,54.0,39.9,0.0,44.4,8.0,6.5,18.1,0.1,,0.0,0.0,0.0
5,14,10,2022,2022-10-14,347,200,5,25.0,586,48.5,1011.5,12.0,69.1,52.0,0.0,58.6,7.6,3.8,19.0,0.99,,0.0,0.0,0.0
7,19,06,2016,2016-06-19,559,220,5,27.0,1073,54.4,1025.2,7.0,88.0,61.0,0.0,74.2,9.4,2.0,17.1,0.0,,0.0,0.0,0.0
7,16,07,2017,2017-07-16,515,175,5,22.5,967,62.0,1013.9,5.1,87.1,68.0,0.0,76.8,10.0,2.5,,0.0,,0.0,0.0,0.0
4,27,06,2019,2019-06-27,734,205,5,25.5,1400,59.5,1018.8,5.1,89.1,71.1,0.0,81.3,10.0,2.7,,0.0,,0.0,0.0,0.0
7,11,08,2013,2013-08-11,481,152,5,20.2,966,53.0,1018.4,6.0,82.9,64.9,0.0,73.5,10.0,2.3,,0.0,,0.0,0.0,0.0
2,27,12,2016,2016-12-27,569,172,5,22.2,1074,45.1,1013.2,9.9,60.1,33.1,0.0,54.7,9.7,6.5,28.9,0.02,,0.0,0.0,0.0
7,28,02,2016,2016-02-28,509,117,5,16.7,1033,21.8,1013.4,8.9,60.1,26.1,0.0,46.0,10.0,6.4,20.0,0.0,,0.0,0.0,0.0
7,03,03,2013,2013-03-03,502,147,5,19.7,989,18.7,1006.2,9.9,39.9,28.9,0.0,32.6,9.0,6.6,17.1,0.0,,0.0,0.0,1.0
1,18,09,2017,2017-09-18,672,207,6,26.7,1256,65.3,1019.6,9.9,81.0,68.0,0.0,70.7,8.8,4.7,,0.0,,0.0,0.0,0.0
6,25,01,2020,2020-01-25,383,124,5,17.4,688,36.7,1019.6,,51.8,37.9,1.0,42.5,6.7,,,0.0,,0.0,0.0,0.0
7,11,08,2019,2019-08-11,484,184,5,23.4,896,51.5,1015.2,8.0,81.0,63.0,0.0,72.3,10.0,2.7,,0.0,,0.0,0.0,0.0
2,06,10,2020,2020-10-06,325,149,5,19.9,601,50.8,1019.4,5.1,70.0,53.1,0.0,62.2,10.0,2.2,14.0,0.0,,0.0,0.0,0.0
6,11,09,2021,2021-09-11,333,149,5,19.9,618,51.2,1020.3,5.1,75.9,60.1,0.0,68.2,10.0,1.8,,0.0,,0.0,0.0,0.0
6,21,12,2013,2013-12-21,594,168,5,21.8,1170,44.4,1014.6,11.1,63.0,41.0,0.0,55.4,9.8,7.0,20.0,0.01,3.1,0.0,0.0,0.0
7,17,07,2022,2022-07-17,281,168,5,21.8,528,67.5,1016.5,6.0,84.9,66.0,0.0,76.4,9.9,2.2,,1.11,,0.0,0.0,0.0
7,22,07,2012,2012-07-22,498,178,6,23.8,991,59.4,1020.3,8.0,82.0,54.0,0.0,72.5,10.0,2.0,,0.0,,0.0,0.0,0.0
2,31,10,2017,2017-10-31,696,181,10,27.8,1299,33.2,1015.3,8.0,61.0,46.0,0.0,52.0,10.0,5.3,18.1,0.03,,0.0,0.0,0.0
1,13,04,2020,2020-04-13,138,25,0,2.5,238,53.4,1011.8,14.0,66.0,44.1,0.0,57.3,4.8,6.6,33.0,0.65,,0.0,0.0,0.0
6,18,04,2020,2020-04-18,125,30,0,3.0,220,38.4,1010.1,8.0,51.1,36.0,0.0,43.6,7.1,4.5,17.1,0.19,,0.0,0.0,0.0
7,22,03,2020,2020-03-22,139,30,0,3.0,273,13.0,1035.1,14.0,46.9,33.1,0.0,39.2,10.0,8.5,21.0,0.0,,0.0,0.0,0.0
1,30,03,2020,2020-03-30,164,30,0,3.0,304,41.7,1013.0,14.0,52.0,41.0,0.0,46.2,9.3,4.9,18.1,0.03,,0.0,0.0,0.0
5,03,04,2020,2020-04-03,191,35,0,3.5,359,36.1,1003.9,12.0,57.9,37.9,0.0,49.3,9.5,7.4,22.9,0.01,,0.0,0.0,0.0
4,26,03,2020,2020-03-26,187,45,0,4.5,342,31.4,1016.0,9.9,60.1,37.9,0.0,45.6,10.0,4.3,18.1,0.01,,0.0,0.0,0.0
7,24,01,2016,2016-01-24,517,55,0,5.5,1017,11.6,1012.1,17.1,35.1,19.9,1.0,26.7,7.4,6.3,26.0,1.82,5.9,0.0,0.0,1.0
7,14,02,2016,2016-02-14,309,55,0,5.5,624,-16.1,1030.3,14.0,21.9,-0.9,0.0,6.9,10.0,7.6,31.1,0.0,,0.0,0.0,0.0
4,04,01,2018,2018-01-04,464,60,0,6.0,826,14.6,1006.7,18.1,30.0,16.0,1.0,25.7,5.4,9.1,34.0,0.07,,0.0,0.0,1.0
7,01,02,2015,2015-02-01,361,65,0,6.5,720,11.4,1021.9,8.9,36.0,19.9,0.0,27.6,9.9,3.5,15.9,0.0,7.1,0.0,0.0,0.0
7,25,12,2022,2022-12-25,180,70,0,7.0,336,3.0,1012.4,12.0,28.0,7.0,0.0,19.3,10.0,7.5,22.9,0.0,,0.0,0.0,0.0
7,10,05,2020,2020-05-10,163,75,0,7.5,294,23.8,1017.3,11.1,64.0,34.0,0.0,49.4,10.0,6.4,25.1,0.03,,0.0,0.0,0.0
1,26,01,2015,2015-01-26,484,80,0,8.0,965,12.7,1014.6,17.1,35.1,21.2,1.0,26.5,5.6,9.8,28.9,0.0,2.0,0.0,0.0,1.0
3,21,01,2015,2015-01-21,495,80,0,8.0,979,8.9,1019.4,7.0,39.9,25.0,0.0,31.4,10.0,4.2,,0.0,,0.0,0.0,0.0
1,19,10,2020,2020-10-19,276,80,0,8.0,495,50.2,1027.3,7.0,64.9,46.0,0.0,57.3,10.0,2.3,,0.0,,0.0,0.0,0.0
7,10,02,2013,2013-02-10,400,80,0,8.0,793,8.5,1028.7,8.9,36.0,18.0,0.0,25.2,10.0,3.4,15.9,0.38,,0.0,0.0,0.0
1,03,01,2022,2022-01-03,208,80,0,8.0,362,16.4,1018.0,14.0,39.9,26.1,0.0,32.0,10.0,8.5,26.0,0.04,,0.0,0.0,0.0
7,08,02,2015,2015-02-08,394,85,0,8.5,796,27.6,1013.7,13.0,39.9,25.0,0.0,35.1,5.9,5.9,18.1,0.02,7.9,0.0,0.0,0.0
4,28,01,2021,2021-01-28,262,86,0,8.5,453,13.2,1018.1,17.1,37.0,25.0,0.0,30.0,10.0,7.2,32.1,0.0,,0.0,0.0,0.0
6,03,11,2012,2012-11-03,307,85,0,8.5,599,30.1,1009.4,15.0,51.8,42.1,0.0,44.7,10.0,7.6,25.1,0.01,,0.0,0.0,0.0
1,28,12,2020,2020-12-28,217,85,0,8.5,399,28.7,1022.3,6.0,50.0,24.1,0.0,42.3,10.0,4.1,15.0,0.0,,0.0,0.0,0.0
1,21,01,2013,2013-01-21,355,85,0,8.5,708,9.3,1016.1,11.1,39.9,26.1,0.0,29.8,10.0,5.1,22.9,0.0,,0.0,0.0,0.0
